,TUDIARYDAY,Socializing for leisure,Alone time for leisure
802,4,0,0
803,1,0,240
804,3,0,180
805,5,86,106
806,5,0,232
807,1,0,158
808,1,0,120
809,3,0,80
810,2,0,180
811,1,30,80
812,1,0,225
813,6,0,0
814,4,0,435
815,3,0,405
816,2,0,225
817,6,65,90
818,7,480,173
819,1,0,300
820,7,200,335
821,4,0,440
822,3,70,0
823,2,0,194
824,4,232,495
825,5,5,360
826,3,50,25
827,4,0,630
828,3,140,75
829,2,160,135
830,1,0,289
831,7,165,90
832,1,0,353
833,7,0,320
834,5,0,420
835,7,0,510
836,5,30,150
837,7,0,495
838,7,416,279
839,6,0,305
840,4,0,180
841,1,0,360
842,3,0,67
843,3,30,275
844,6,40,70
845,3,0,890
846,4,90,300
847,7,26,140
848,7,0,140
849,1,0,405
850,6,0,280
851,6,45,103
852,7,245,0
853,7,0,915
854,6,0,0
855,5,35,95
856,1,68,75
857,7,0,310
858,2,0,15
859,6,0,0
860,1,0,270
861,4,0,540
862,3,0,181
863,3,0,330
864,7,0,278
865,7,180,70
866,2,105,20
867,4,90,90
868,7,10,140
869,2,0,205
870,4,120,170
871,1,140,200
872,2,0,75
873,7,0,180
874,7,0,825
875,5,0,130
876,4,15,65
877,6,0,344
878,2,0,600
879,3,0,565
880,3,0,165
881,1,0,350
882,1,0,640
883,3,15,228
884,2,90,375
885,6,15,200
886,4,20,60
887,3,0,150
888,1,240,120
889,1,0,490
890,2,0,625
891,7,0,355
892,6,0,255
893,4,45,525
894,4,0,0
895,7,0,800
896,2,0,365
897,3,10,30
898,7,0,210
899,2,0,200
900,1,0,290
901,7,0,405
902,7,0,100
903,1,0,300
904,2,0,807
905,7,0,360
906,7,240,255
907,6,0,211
908,1,228,240
909,7,200,225
910,5,10,35
911,5,0,428
912,3,25,60
913,5,0,155
914,7,0,240
915,1,0,535
916,6,25,28
917,3,0,617
918,7,0,270
919,5,60,290
920,6,0,349
921,7,15,347
922,5,0,85
923,1,0,760
924,1,0,530
925,4,0,155
926,7,60,379
927,1,30,456
928,4,235,30
929,1,20,120
930,2,60,90
931,6,16,0
932,1,60,175
933,7,177,60
934,1,0,202
935,4,0,555
936,3,0,255
937,3,45,210
938,7,0,841
939,3,25,145
940,1,365,0
941,7,0,245
942,1,95,290
943,1,0,30
944,1,60,30
945,6,0,630
946,7,120,390
947,6,0,150
948,7,0,740
949,1,0,105
950,7,180,120
951,7,30,180
952,1,180,90
953,1,0,20
954,1,360,0
955,6,0,300
956,7,0,120
957,6,0,75
958,7,0,505
959,7,0,845
960,1,35,253
961,2,15,340
962,6,130,60
963,6,5,0
964,7,0,418
965,3,0,20
966,1,25,135
967,5,0,560
968,2,0,83
969,4,0,90
970,6,30,40
971,5,0,285
972,4,120,210
973,5,0,435
974,4,0,485
975,3,25,517
976,3,0,180
977,2,0,203
978,2,180,10
979,6,0,650
980,3,150,30
981,1,120,495
982,2,0,205
983,1,0,740
984,7,0,120
985,7,110,310
986,7,300,0
987,7,560,210
988,7,0,195
989,6,42,60
990,1,55,296
991,6,335,270
992,1,75,215
993,7,205,90
994,4,120,385
995,7,0,200
996,4,0,208
997,3,0,120
998,7,0,595
999,1,0,450
1000,7,10,270
1001,6,0,0
1002,7,285,150
1003,6,30,90
1004,1,45,180
1005,6,0,0
1006,5,65,170
1007,5,20,160
1008,4,0,195
1009,5,15,655
1010,6,0,260
1011,4,0,350
1012,6,30,331
1013,2,0,322
1014,3,30,365
1015,3,0,335
1016,2,0,360
1017,2,0,462
1018,7,0,150
1019,1,0,784
1020,3,60,570
1021,7,0,60
1022,4,0,180
1023,6,0,409
1024,7,0,90
1025,1,0,375
1026,1,0,520
1027,5,0,0
1028,7,0,790
1029,7,120,350
1030,4,0,338
1031,3,0,520
1032,4,0,0
1033,4,0,470
1034,7,0,240
1035,3,0,100
1036,3,0,225
1037,5,0,630
1038,1,60,507
1039,1,210,300
1040,7,0,790
1041,7,0,140
1042,7,0,380
1043,1,150,420
1044,3,0,130
1045,1,90,550
1046,2,0,120
1047,5,0,130
1048,4,480,120
1049,6,245,30
1050,7,20,309
1051,6,228,185
1052,5,10,344
1053,4,270,55
1054,2,0,30
1055,4,3,103
1056,1,30,45
1057,5,0,575
1058,4,0,1030
1059,1,52,246
1060,1,180,180
1061,7,90,340
1062,3,60,595
1063,4,0,195
1064,3,0,484
1065,1,200,90
1066,5,0,375
1067,7,510,325
1068,7,0,300
1069,1,0,340
1070,1,30,205
1071,5,0,0
1072,7,100,60
1073,7,0,90
1074,1,20,325
1075,7,0,370
1076,6,30,230
1077,3,0,250
1078,2,0,135
1079,7,0,60
1080,7,0,60
1081,1,0,315
1082,4,0,30
1083,2,230,250
1084,5,30,139
1085,6,0,146
1086,7,65,133
1087,7,0,400
1088,7,265,200
1089,1,0,90
1090,4,0,0
1091,7,0,695
1092,7,60,597
1093,5,185,110
1094,1,85,311
1095,6,30,175
1096,4,0,715
1097,1,0,205
1098,4,150,120
1099,3,0,90
1100,7,385,195
1101,1,155,105
1102,3,0,70
1103,2,40,98
1104,1,180,315
1105,6,120,420
1106,1,40,95
1107,7,0,457
1108,7,0,780
1109,7,60,223
1110,7,0,345
1111,7,0,430
1112,1,0,470
1113,7,0,292
1114,1,205,160
1115,6,30,273
1116,6,90,275
1117,7,0,60
1118,4,210,120
1119,1,30,120
1120,4,0,180
1121,5,0,204
1122,5,0,0
1123,2,0,235
1124,7,65,65
1125,1,0,210
1126,3,0,275
1127,3,30,393
1128,4,10,365
1129,1,0,0
1130,1,35,350
1131,7,0,160
1132,7,0,510
1133,1,0,580
1134,7,60,180
1135,3,0,360
1136,1,0,525
1137,5,0,90
1138,6,0,690
1139,1,0,300
1140,4,0,90
1141,3,0,60
1142,2,0,120
1143,7,0,380
1144,7,195,120
1145,4,0,225
1146,1,0,415
1147,4,0,760
1148,1,0,385
1149,1,90,370
1150,2,0,135
1151,1,0,160
1152,7,180,90
1153,1,0,30
1154,1,10,320
1155,7,0,790
1156,1,0,195
1157,5,0,0
1158,4,0,0
1159,3,131,514
1160,5,5,180
1161,1,0,105
1162,1,0,260
1163,6,20,835
1164,7,0,300
1165,7,0,220
1166,2,15,140
1167,7,0,157
1168,5,0,150
1169,7,190,300
1170,5,0,0
1171,3,0,50
1172,1,0,255
1173,7,0,520
1174,3,0,370
1175,4,0,255
1176,3,92,75
1177,6,120,632
1178,2,0,225
1179,7,315,210
1180,1,120,270
1181,6,0,335
1182,5,83,240
1183,5,5,90
1184,4,0,185
1185,3,0,85
1186,7,0,390
1187,1,0,300
1188,7,30,140
1189,6,0,270
1190,7,400,55
1191,1,0,470
1192,7,0,420
1193,7,0,390
1194,6,0,30
1195,7,0,120
1196,3,0,175
1197,1,90,240
1198,7,150,555
1199,6,90,330
1200,2,0,638
1201,1,0,620
1202,4,20,435
1203,7,0,720
1204,6,30,60
1205,1,360,80
1206,2,20,37
1207,1,0,555
1208,4,0,125
1209,4,0,60
1210,3,0,0
1211,7,0,524
1212,3,58,849
1213,6,249,7
1214,7,0,280
1215,2,0,60
1216,2,85,332
1217,7,0,280
1218,1,0,410
1219,1,1,319
1220,7,0,675
1221,5,270,570
1222,3,0,523
1223,5,12,446
1224,6,0,78
1225,5,0,460
1226,1,670,0
1227,1,0,60
1228,1,0,265
1229,7,0,465
1230,3,0,190
1231,7,0,556
1232,7,240,210
1233,7,0,150
1234,7,205,45
1235,7,105,130
1236,4,0,260
1237,5,0,455
1238,7,0,209
1239,3,0,207
1240,7,275,0
1241,1,0,0
1242,7,50,360
1243,3,145,0
1244,4,66,205
1245,7,40,320
1246,3,0,0
1247,2,70,188
1248,1,270,0
1249,7,0,120
1250,2,0,345
1251,7,0,70
1252,7,30,120
1253,7,0,120
1254,7,221,0
1255,2,0,250
1256,6,0,163
1257,6,0,120
1258,7,550,0
1259,1,0,515
1260,6,15,15
1261,5,0,0
1262,4,90,30
1263,4,0,414
1264,6,0,545
1265,3,10,15
1266,3,110,195
1267,7,60,465
1268,1,60,480
1269,3,0,125
1270,1,0,0
1271,3,0,454
1272,7,355,0
1273,1,0,45
1274,1,30,368
1275,2,0,210
1276,7,0,330
1277,7,75,75
1278,1,0,355
1279,2,0,15
1280,4,17,150
1281,7,0,610
1282,1,585,0
1283,6,45,125
1284,7,117,160
1285,1,30,165
1286,1,270,60
1287,1,110,230
1288,5,5,150
1289,6,95,20
1290,7,0,210
1291,7,105,385
1292,1,0,65
1293,7,0,330
1294,6,0,250
1295,4,0,60
1296,5,180,355
1297,1,0,50
1298,3,45,30
1299,1,0,365
1300,2,20,90
1301,7,55,75
1302,2,0,290
1303,4,0,195
1304,7,235,70
1305,6,0,90
1306,5,0,120
1307,5,0,285
1308,1,40,142
1309,3,30,255
1310,2,0,240
1311,6,0,190
1312,4,0,10
1313,1,450,0
1314,3,20,291
1315,2,45,135
1316,2,65,30
1317,6,45,213
1318,1,0,575
1319,6,90,610
1320,6,45,100
1321,1,0,725
1322,5,0,380
1323,3,0,132
1324,4,0,120
1325,7,0,455
1326,1,0,570
1327,1,0,845
1328,3,0,383
1329,2,0,203
1330,1,0,180
1331,7,0,0
1332,1,300,340
1333,7,0,860
1334,1,0,210
1335,1,0,345
1336,6,0,410
1337,1,0,625
1338,5,15,14
1339,6,0,0
1340,6,0,225
1341,3,0,330
1342,2,0,150
1343,7,45,45
1344,4,20,125
1345,7,102,360
1346,6,0,220
1347,5,0,198
1348,1,0,715
1349,1,0,515
1350,4,0,100
1351,3,139,115
1352,7,0,120
1353,1,0,430
1354,4,0,274
1355,1,105,80
1356,2,0,323
1357,1,10,167
1358,1,0,723
1359,4,0,15
1360,3,120,280
1361,1,300,280
1362,7,0,790
1363,2,0,120
1364,2,0,60
1365,1,0,720
1366,1,0,285
1367,1,270,300
1368,6,25,60
1369,7,60,15
1370,7,105,530
1371,7,0,390
1372,3,95,180
1373,4,0,315
1374,7,10,148
1375,7,27,138
1376,7,0,360
1377,4,0,120
1378,6,0,210
1379,5,0,250
1380,7,0,330
1381,2,0,0
1382,5,0,205
1383,2,0,560
1384,5,0,120
1385,3,0,60
1386,7,60,90
1387,3,60,135
1388,2,0,0
1389,7,0,380
1390,3,0,735
1391,1,0,535
1392,1,0,470
1393,7,0,219
1394,4,0,925
1395,7,0,240
1396,7,113,340
1397,7,255,130
1398,6,0,335
1399,5,90,178
1400,2,90,90
1401,4,0,400
1402,5,80,100
1403,4,0,129
1404,6,202,160
1405,2,0,0
1406,1,0,230
1407,1,0,795
1408,5,0,90
1409,7,0,60
1410,1,180,130
1411,1,360,55
1412,6,0,360
1413,7,485,60
1414,5,0,0
1415,1,0,430
1416,1,0,320
1417,7,90,210
1418,4,350,60
1419,1,0,390
1420,7,0,0
1421,7,0,360
1422,3,60,673
1423,5,0,60
1424,1,0,505
1425,3,0,190
1426,3,15,360
1427,2,0,70
